DATAVERIFICACAO;RLD_ID;SERVIÇO;IDFISCAL;FISCAL;IDMOTORISTA;MOTORISTA;COD_PROPR;NOMEFANTASIA;NR_CGC_INDICE;CODITEM;DT_HORA_VERIF;DESC_ITEM;NR_SERIE;NR_INMETRO;ESPECIE;INDICEDOC;RESULTADO;ENDERECO_COMPLETO;REGIONAL
01/03/2018;1841791;Periódica;472;ALEXANDRE ABREU FONSECA;1697;PAULO ROBERTO DIAS RAMOS;1205301;POSTO DOM PEDRO GUARA URBANO;16780200;372;01/03/2018 10:20;Bomba medidora p/comb.vazão > 20 até 100 L/min.;28000912;12842380;BOMBAS MEDIDORAS;16780200;Aprovado; COMENDADOR RODRIGUES ALVES, 375 - CENTRO - GUARATINGUETÁ - CEP: 12500010;SÃO JOSÉ DOS CAMPOS
01/03/2018;1841791;Periódica;472;ALEXANDRE ABREU FONSECA;1697;PAULO ROBERTO DIAS RAMOS;1205301;POSTO DOM PEDRO GUARA URBANO;16780200;372;01/03/2018 10:30;Bomba medidora p/comb.vazão > 20 até 100 L/min.;28000912;12842381;BOMBAS MEDIDORAS;16780200;Aprovado; COMENDADOR RODRIGUES ALVES, 375 - CENTRO - GUARATINGUETÁ - CEP: 12500010;SÃO JOSÉ DOS CAMPOS
01/03/2018;1841791;Periódica;472;ALEXANDRE ABREU FONSECA;1697;PAULO ROBERTO DIAS RAMOS;1205301;POSTO DOM PEDRO GUARA URBANO;16780200;372;01/03/2018 10:36;Bomba medidora p/comb.vazão > 20 até 100 L/min.;28000912;12842378;BOMBAS MEDIDORAS;16780200;Aprovado; COMENDADOR RODRIGUES ALVES, 375 - CENTRO - GUARATINGUETÁ - CEP: 12500010;SÃO JOSÉ DOS CAMPOS
01/03/2018;1841791;Periódica;472;ALEXANDRE ABREU FONSECA;1697;PAULO ROBERTO DIAS RAMOS;1205301;POSTO DOM PEDRO GUARA URBANO;16780200;372;01/03/2018 10:40;Bomba medidora p/comb.vazão > 20 até 100 L/min.;28000912;12842379;BOMBAS MEDIDORAS;16780200;Aprovado; COMENDADOR RODRIGUES ALVES, 375 - CENTRO - GUARATINGUETÁ - CEP: 12500010;SÃO JOSÉ DOS CAMPOS
01/03/2018;1841791;Periódica;472;ALEXANDRE ABREU FONSECA;1697;PAULO ROBERTO DIAS RAMOS;1205301;POSTO DOM PEDRO GUARA URBANO;16780200;372;01/03/2018 10:50;Bomba medidora p/comb.vazão > 20 até 100 L/min.;28000912;12842377;BOMBAS MEDIDORAS;16780200;Aprovado; COMENDADOR RODRIGUES ALVES, 375 - CENTRO - GUARATINGUETÁ - CEP: 12500010;SÃO JOSÉ DOS CAMPOS
01/03/2018;1841791;Periódica;472;ALEXANDRE ABREU FONSECA;1697;PAULO ROBERTO DIAS RAMOS;1205301;POSTO DOM PEDRO GUARA URBANO;16780200;372;01/03/2018 10:58;Bomba medidora p/comb.vazão > 20 até 100 L/min.;28000912;12842382;BOMBAS MEDIDORAS;16780200;Aprovado; COMENDADOR RODRIGUES ALVES, 375 - CENTRO - GUARATINGUETÁ - CEP: 12500010;SÃO JOSÉ DOS CAMPOS
01/03/2018;1841791;Periódica;472;ALEXANDRE ABREU FONSECA;1697;PAULO ROBERTO DIAS RAMOS;1205301;POSTO DOM PEDRO GUARA URBANO;16780200;372;01/03/2018 11:14;Bomba medidora p/comb.vazão > 20 até 100 L/min.;27990912;12842388;BOMBAS MEDIDORAS;16780200;Aprovado; COMENDADOR RODRIGUES ALVES, 375 - CENTRO - GUARATINGUETÁ - CEP: 12500010;SÃO JOSÉ DOS CAMPOS
01/03/2018;1841791;Periódica;472;ALEXANDRE ABREU FONSECA;1697;PAULO ROBERTO DIAS RAMOS;1205301;POSTO DOM PEDRO GUARA URBANO;16780200;372;01/03/2018 11:18;Bomba medidora p/comb.vazão > 20 até 100 L/min.;27990912;12842387;BOMBAS MEDIDORAS;16780200;Aprovado; COMENDADOR RODRIGUES ALVES, 375 - CENTRO - GUARATINGUETÁ - CEP: 12500010;SÃO JOSÉ DOS CAMPOS
01/03/2018;1841791;Periódica;472;ALEXANDRE ABREU FONSECA;1697;PAULO ROBERTO DIAS RAMOS;1205301;POSTO DOM PEDRO GUARA URBANO;16780200;372;01/03/2018 11:28;Bomba medidora p/comb.vazão > 20 até 100 L/min.;27990912;12842384;BOMBAS MEDIDORAS;16780200;Aprovado; COMENDADOR RODRIGUES ALVES, 375 - CENTRO - GUARATINGUETÁ - CEP: 12500010;SÃO JOSÉ DOS CAMPOS
01/03/2018;1841791;Periódica;472;ALEXANDRE ABREU FONSECA;1697;PAULO ROBERTO DIAS RAMOS;1205301;POSTO DOM PEDRO GUARA URBANO;16780200;372;01/03/2018 11:30;Bomba medidora p/comb.vazão > 20 até 100 L/min.;27990912;12842383;BOMBAS MEDIDORAS;16780200;Aprovado; COMENDADOR RODRIGUES ALVES, 375 - CENTRO - GUARATINGUETÁ - CEP: 12500010;SÃO JOSÉ DOS CAMPOS
